0,10.945
0.75,10.906
1.75,10.886
2.75,10.818
3.75,10.856
4.75,11.077
5.75,11.432
6.75,11.565
7.75,11.464
8.75,11.408
9.75,11.351
10.75,11.262
11.75,11.386
12.75,11.445
13.75,11.576
14.75,11.904
15.75,11.771
16.75,11.901
17.75,11.722
18.75,11.847
19.75,12.332
20.75,12.385
21.75,12.698
22.75,12.784
23.75,12.665
24.75,12.67
25.75,12.726
26.75,12.643
27.75,12.624
28.75,12.741
29.75,12.845
30.75,13.142
31.75,12.549
32.75,12.012
33.75,11.813
34.75,11.785
35.75,11.925
36.75,12.437
37.75,13.075
38.75,13.388
39.75,13.946
40.75,14.334
41.75,14.787
42.75,15.613
43.75,16.243
44.75,17.249
45.75,19.297
46.75,21.416
47.75,23.64
48.75,25.001
49.75,24.982
50.75,24.378
51.75,25.08
52.75,25.307
53.75,24.44
54.75,24.437
55.75,24.541
56.75,24.732
57.75,25.041
58.75,25.708
59.75,26.033
60.75,26.069
61.75,26.709
62.75,26.734
63.75,26.976
64.75,27.376
65.75,27.393
66.75,26.049
67.75,23.781
68.75,22.694
69.75,21.713
70.75,20.668
71.75,20.069
72.75,20.231
73.75,21.531
74.75,23.048
75.75,23.913
76.75,24.655
77.75,26.147
78.75,27.709
79.75,28.07
80.75,28.061
81.75,28.927
82.75,29.276
83.75,29.231
84.75,29.294
85.75,29.944
86.75,31.044
87.75,31.864
88.75,33.143
89.75,33.705
90.75,34.029
91.75,36.691
92.75,39.093
93.75,40.052
94.75,40.946
95.75,41.688
96.75,43.347
97.75,45.007
98.75,47.512
99.75,48.87
100.75,49.875
101.75,50.461
102.75,51.096
103.75,51.599
104.75,52.064
105.75,53.423
106.75,54.25
107.75,54.406
108.75,56.708
109.75,58.967
110.75,60.613
111.75,61.253
112.75,62.486
113.75,66.757
114.75,65.511
115.75,63.515
116.75,63.452
117.75,63.89
118.75,64.752
119.75,65.823
120.75,66.832
121.75,67.954
122.75,68.632
123.75,68.683
124.75,68.446
125.75,68.904
126.75,68.893
127.75,69.105
128.75,69.083
129.75,68.603
130.75,66.882
131.75,65.063
132.75,62.918
133.75,60.415
134.75,58.701
135.75,57.59
136.75,56.321
137.75,55.867
138.75,56.007
139.75,56.258
140.75,56.419
141.75,56.885
142.75,57.804
143.75,58.883
144.75,59.846
145.75,60.605
146.75,61.632
147.75,63.156
148.75,65.437
149.75,68.867
150.75,69.843
151.75,69.847
152.75,70.895
153.75,72.06
154.75,72.0749
155.75,72.0899
156.75,72.1048
157.75,72.1198
158.75,72.1347
159.75,72.1496
160.75,72.1646
161.75,72.1795
162.75,72.1944
163.75,72.2094
164.75,72.2243
165.75,72.2393
166.75,72.2542
167.75,72.2691
168.75,72.2841
169.75,72.299
170.75,72.3139
171.75,72.3289
172.75,72.3438
173.75,72.3587
174.75,72.3737
175.75,72.3886
176.75,72.4036
177.75,72.4185
178.75,72.4334
179.75,72.4484
180.75,72.4633
181.75,72.4782
182.75,72.4932
183.75,72.5081
184.75,72.5231
185.75,72.538
186.75,72.5529
187.75,72.5679
188.75,72.5828
189.75,72.5977
190.75,72.6127
191.75,72.6276
192.75,72.6426
193.75,72.6575
194.75,72.6724
195.75,72.6874
196.75,72.7023
197.75,72.7172
198.75,72.7322
199.75,72.7471
200.75,72.7621
201.75,72.777
202.75,72.7919
203.75,72.8069
204.75,72.8218
205.75,72.8367
206.75,72.8517
207.75,72.8666
208.75,72.8816
209.75,72.8965
210.75,72.9114
211.75,72.9264
212.75,72.9413
213.75,72.9563
214.75,72.9712
215.75,72.9861
216.75,73.0011
217.75,73.016
218.75,73.0309
219.75,73.0459
220.75,73.0608
221.75,73.0758
222.75,73.0907
223.75,73.1056
224.75,73.1206
225.75,73.1355
226.75,73.1504
227.75,73.1654
228.75,73.1803
229.75,73.1953
230.75,73.2102
231.75,73.2251
232.75,73.2401
233.75,73.255
234.75,72.374
235.75,71.382
236.75,70.38
237.75,69.008
238.75,65.804
239.75,63.846
240.75,62.491
241.75,60.778
242.75,59.274
243.75,57.61
244.75,55.829
245.75,53.907
246.75,52.911
247.75,51.664
248.75,50.472
249.75,49.68
250.75,48.623
251.75,47.705
252.75,46.706
253.75,45.735
254.75,44.743
255.75,43.738
256.75,42.608
257.75,41.64
258.75,40.502
259.75,38.982
260.75,37.681
261.75,36.58
262.75,35.793
263.75,35.346
264.75,34.886
265.75,34.197
266.75,33.183
267.75,32.081
268.75,31.085
269.75,30.328
270.75,29.675
271.75,28.729
272.75,27.148
273.75,25.207
274.75,24.371
275.75,23.398
276.75,22.016
277.75,19.881
278.75,18.972
279.75,18.145
280.75,17.014
281.75,17.104
282.75,17.464
283.75,17.22
284.75,16.689
285.75,16.382
286.75,16.272
287.75,16.673
288.75,17.421
289.75,17.8
290.75,17.85
